plotID,P_avail_mg_g,K_avail_mg_g
KBPL8,-0.01194415,0.931399703
KBPL8,-0.0113336,0.730551736
KBPL8,-0.01009833,0.667095195
KBPL8,-0.01880636,0.910677604
KBPL8,-0.00692032,0.765427419
KBPL8,-0.02437289,1.160476642
KBPL8,-0.02303085,0.99677206
KBPL8,-0.0184334,0.860827271
KBPL8,-0.00008527,0.868138653
KBPL8,-0.00865943,0.880298225
KBPL9,-0.00189919,1.085759791
KBPL9,0.00242238,1.105973612
KBPL9,-0.00285144,1.183231853
KBPL9,-0.00143214,1.346506354
KBPL9,0.00881716,1.370786398
KBPL9,-0.00542478,1.112776716
KBPL9,0.00425958,1.03059209
KBPL9,-0.00517427,1.061909828
KBPL9,0.00431071,1.052291646
KBPL9,0.00218707,1.052057056
NPL1,0.00043524,-0.06255728
NPL1,-0.00327075,0.235958241
NPL1,0.0026011,0.4944762
NPL1,-0.00807568,0.296091426
NPL1,0.00197628,0.256836733
NPL1,0.02504885,0.163391796
NPL1,0.01190852,0.112212121
NPL1,0.00114809,0.450334219
NPL1,-0.00085287,0.178444641
NPL1,0.00264413,0.474340576
NPL1,-0.00153994,0.468827715
NPL1,0.00116592,0.422105247
NPL1,-0.00511366,0.445212342
NPL1,0.01416764,0.041678788
NPL1,-0.00094085,0.407873466
NPL1,-0.00153385,0.090199778
NPL1,0.00165741,0.476412786
NPL1,-0.00813261,0.417999925
NPL1,0.00610413,0.261802217
NPL1,0.00242646,0.556134219
NPL1,0.00219333,0.056457945
NPL10,0.02920304,0.631398447
NPL10,0.01460935,0.198384774
NPL10,0.05988621,0.119953584
NPL10,0.02671448,0.231070953
NPL10,0.06706668,0.449591352
NPL10,0.07738115,0.49080096
NPL10,0.09245134,0.563445601
NPL10,0.07216845,0.5588711
NPL10,0.02432939,-0.10787221
NPL10,0.06257309,0.459170435
NPL11,-0.05056492,-0.361502882
NPL11,-0.04682003,-0.35786674
NPL11,-0.04025184,-0.417608942
NPL11,-0.05287342,-0.450334219
NPL11,-0.0321965,-0.211209017
NPL11,0.00365075,0.715850775
NPL11,-0.06830693,0.242761345
NPL11,-0.00767386,-0.320097782
NPL11,0.0272657,-0.089026829
NPL11,-0.01712637,0.859537027
NPL11,0.01844099,0.065606947
NPL11,0.04237701,0.161671471
NPL11,-0.06327116,-0.333313008
NPL11,0.12775115,0.216057206
NPL11,0.05422379,-0.319589504
NPL11,0.10880897,0.260316481
NPL11,-0.06852423,-0.356654693
NPL11,-0.05701141,-0.547024315
NPL11,0.06006097,0.050280414
NPL11,0.01648322,-0.309032963
NPL11,0.06456235,0.007545972
NPL11,0.02361947,0.092975757
NPL11,0.06942637,0.078704878
NPL11,0.01126985,-0.02944102
NPL11,0.00252772,0.224385144
NPL11,-0.04605971,-0.456433554
NPL11,0.03681499,-0.276776866
NPL11,0.10329949,0.029832003
NPL11,0.0850091,-0.099505174
NPL12,-0.01808029,1.462393715
NPL12,-0.00639448,0.774576421
NPL12,0.08500329,0.578263857
NPL12,0.00754975,0.370299999
NPL2,-0.00326328,0.70631079
NPL2,0.00587563,0.156471397
NPL2,-0.03166294,0.751703916
NPL2,-0.02856044,0.75068736
NPL2,0.04516143,0.137547819
NPL2,0.03927092,0.282407021
NPL2,0.02346706,0.30727354
NPL2,0.01835899,0.370456393
NPL2,0.00373224,0.492599482
NPL2,0.01252836,0.029245528
NPL3,0.01718851,0.481964744
NPL3,0.00853711,0.453853066
NPL3,0.00797396,0.674953953
NPL3,-0.01367103,0.608721433
NPL3,-0.02430441,0.772386917
NPL3,0.05283721,0.129063488
NPL3,0.03679824,0.267666962
NPL3,0.03938853,0.116864819
NPL3,0.04924961,0.238343237
NPL3,0.01146429,0.272476053
NPL4,0.00303822,-0.69387753
NPL4,0.01231651,-0.59085351
NPL4,-0.04772227,-0.327917442
NPL4,0.00686508,-0.355638137
NPL4,-0.04410287,0.15799623
NPL4,-0.01258427,0.620646414
NPL4,-0.00778458,0.421440576
NPL4,-0.00621296,-0.377454988
NPL4,-0.01409825,-0.30703895
NPL4,-0.06854968,0.006959497
NPL4,-0.02994802,-0.255390096
NPL4,-0.04777267,-0.296951589
NPL4,-0.04358699,-0.257735994
NPL4,-0.06190074,-0.548666444
NPL4,-0.03411563,-0.308172801
NPL4,-0.05722658,-0.061892609
NPL4,-0.05032576,-0.515393791
NPL4,-0.06456533,-0.053290983
NPL4,-0.0143202,0.233299556
NPL4,-0.04066895,-0.215353436
NPL5,0.10139952,-0.205539763
NPL5,0.00518622,0.336675461
NPL5,0.00431325,0.190721507
NPL5,0.03153691,-0.179813082
NPL5,0.0084731,-0.8095694
NPL5,0.01813915,-0.825756096
NPL5,0.00773779,0.633314263
NPL5,-0.03658135,-0.774732815
NPL5,0.04663039,-0.044024686
NPL5,0.06275991,0.350164375
NPL5,-0.01195324,0.41467657
NPL5,0.00577787,0.055324095
NPL5,0.04388948,-0.626393864
NPL5,-0.00797523,0.457841093
NPL5,-0.02865375,0.196468958
NPL5,-0.06078915,0.523839023
NPL5,-0.02019859,0.570209607
NPL5,-0.01711576,0.432857279
NPL5,0.00753999,-0.122182188
NPL5,0.01817111,0.270482039
NPL6,-0.00334966,0.135045528
NPL6,0.01584743,0.706740871
NPL6,-0.01861035,0.046292387
