plotID,region,Ca_mg_kg_dry_weight,K_mg_kg_dry_weight,Mg_mg_kg_dry_weight,P_mg_kg_dry_weight,litter_C,litter_N,N_mass,C_mass,P,K,CN,NP,Mg,Ca,tracer,lit_N_adj,lit_K_adj,lit_P_adj,lit_Mg_adj,N_resorp,K_resorp,P_resorp,Mg_resorp,NP_resorp,NK_resorp,NMg_resorp
KBPL10,Mafic,17.213,8.92,4.113,2.233,428.0,22.0,33.8575743,455.1394141,2.926664465,17.11763207,13.442764979769976,11.568655957969545,3.696900112,12.31976865,0.7157246644977633,15.745942618950792,6.3842640073200485,1.5982131758235054,2.943775545079301,53.49358911707154,62.703579670292285,45.39130826452613,20.37178566107547,1.1784985091270752,0.8531185842714454,2.625866480584574
KBPL11,Mafic,18.27290548,7.2378913985,4.01144472425,1.6229028055,435.75,18.25,28.04914882,462.6112496,2.833703826,15.50438836,16.492880142949023,9.898405247097973,3.143739935,11.20706617,0.613316047755313,11.193017871534462,4.439114946610196,0.9953523345602695,2.4602834240659117,60.094982049674684,71.3686548379894,64.87451068712113,21.74023694915109,0.926326555887299,0.8420360757267102,2.7642284759928186
KBPL12,Mafic,16.6840122925,3.7133507195,7.01871413375,1.94652583575,443.75,19.5,25.47138963,484.9337813,1.63031615,10.96719156,19.038371613963648,15.623589099574337,3.007433435,6.852106922,0.4106989854640806,8.008630216549571,1.525069373170964,0.7994361859221466,2.8825787739935285,68.55833021722117,86.09425790707202,50.96434603054465,4.151535310921067,1.3452214255066053,0.796317105041097,16.513970153853926
KBPL6,Mafic,18.63406796,4.807061581666667,5.470394175999999,1.727377226,436.0,25.333333333333332,31.53114191,456.493925,2.161889391,10.53910107,14.477557657219652,14.584993127430542,5.608899946,9.281973162,0.49811845604109306,12.619000886374357,2.394486093154255,0.8604384768156663,2.7249043008853073,59.97924552687297,77.27997789137575,60.19969937418198,51.41820451212401,0.9963379576708724,0.7761291755437537,1.1664982489369176
NPL1,Sedim,5.459219218428571,0.7827101884714286,1.338703909,0.18763132437142857,470.57142857142856,17.285714285714285,18.65664205,493.5952905,0.986370864,7.222998032,26.456813030831558,18.9144293803877,2.19500415,6.263890272,1.1473967286118714,19.83357202314806,0.8980791097032984,0.21528756776889002,1.5360244857665242,-6.308369801992653,87.56639409668196,78.17377057389541,30.021795823642332,-0.08069675743770774,-0.07204099091973101,-0.21012633085142682
NPL10,Sedim,7.971691735,2.160784802,2.11253692875,0.30768385652499997,483.5,14.75,18.07623698,495.9605608,0.838944935,5.981994373,27.43715748740975,21.546392648523472,2.050951458,4.689675378,0.5882911098292738,8.677293869981789,1.2711704892708076,0.18100767743164328,1.242786694369663,51.99612685105555,78.750055416162,78.42436733566508,39.4043828037951,0.6630098350491793,0.6602678128450472,1.3195518658408658
NPL11,Sedim,9.467816865,2.7730722115,2.46695269825,0.5032119599,486.75,15.0,20.28755437,482.9227038,1.04296062,9.551190572,23.80388956660625,19.451889151864624,2.032763814,4.664865487,0.49270761713238953,7.390614256985843,1.3663138014642109,0.24793636567484856,1.2154863855330764,63.57069895070924,85.69483258485431,76.22763880817969,40.20523303485584,0.8339586525916072,0.7418265143089237,1.5811548435895588
NPL12,Sedim,13.592653675,5.606675301,4.0886267515,1.40122443175,467.5,17.5,16.23876689,478.4844589,0.84788958,6.375484886,29.46556608277046,19.15198308015532,2.464788076,5.105237132,0.3755879649453366,6.57278938654339,2.1057997664118724,0.5262830327526682,1.5356390010169472,59.52408559672728,66.97035905400666,37.93023936528762,37.69691536689554,1.5693042436004654,0.8888124005535866,1.579017408119281
NPL2,Sedim,5.46052957175,1.0948367256,1.45834351625,0.23118276245,461.25,15.75,19.61264746,491.2650541,0.928333061,6.103422351,25.048380393413748,21.1267359571071,1.884451103,4.445066892,0.8140358610997206,12.8210648123206,0.8912363566873945,0.1881910591023979,1.187143920029763,34.62858679090029,85.39776038043031,79.72806668118892,37.003198536706044,0.434333707468045,0.40549759896087106,0.9358268517395811
NPL3,Sedim,4.333473693,0.8618953525749999,1.3399620185,0.19035361525,467.75,17.25,21.07576284,478.170036,1.213741387,11.34792643,22.688148449482174,17.364294458223,2.045256709,4.009768934,0.925301321311148,15.961447792617301,0.7975129085695851,0.17613445170717887,1.2398686262248029,24.266334206779764,92.97217061205794,85.48830470858955,39.378337165752676,0.28385560211421024,0.26100642855844614,0.6162356247963712
