plotID,region,Ca_mg_kg_dry_weight,K_mg_kg_dry_weight,Mg_mg_kg_dry_weight,P_mg_kg_dry_weight,litter_C,litter_N,N_mass,C_mass,P,K,CN,NP,Mg,Ca,tracer,lit_N_adj,lit_K_adj,lit_P_adj,lit_Mg_adj,N_resorp,K_resorp,P_resorp,Mg_resorp
KBPL1,Mafic,14.4809834375,2.56009528825,7.432305789000001,1.39905507625,439.25,26.0,30.00025355,464.3163925,2.028662678,9.145579732,15.477082276192963,14.788192179675917,2.615660028,10.05699218,1.4398920848618977,18.056908759585063,1.7779771936836104,0.9716388408261759,5.161710288665726,39.81081283366333,80.55916359831687,52.10446510584566,-97.33873031704738
KBPL10,Mafic,17.213,8.92,4.113,2.233,428.0,22.0,33.8575743,455.1394141,2.926664465,17.11763207,13.442764979769976,11.568655957969545,3.696900112,12.31976865,1.3971853278267528,15.745942618950792,6.3842640073200485,1.5982131758235054,2.943775545079301,53.49358911707154,62.703579670292285,45.39130826452613,20.37178566107547
KBPL11,Mafic,18.27290548,7.2378913985,4.01144472425,1.6229028055,435.75,18.25,28.04914882,462.6112496,2.833703826,15.50438836,16.492880142949023,9.898405247097973,3.143739935,11.20706617,1.630480734459695,11.193017871534462,4.439114946610195,0.9953523345602694,2.4602834240659113,60.094982049674684,71.3686548379894,64.87451068712113,21.740236949151104
KBPL12,Mafic,16.6840122925,3.7133507195,7.01871413375,1.94652583575,443.75,19.5,25.47138963,484.9337813,1.63031615,10.96719156,19.038371613963648,15.623589099574337,3.007433435,6.852106922,2.434873314503133,8.008630216549571,1.525069373170964,0.7994361859221466,2.8825787739935285,68.55833021722117,86.09425790707202,50.96434603054465,4.151535310921067
KBPL5,Mafic,14.61174118,3.148966861,7.1310154485,1.6363987665,431.0,20.5,37.79311247,466.9151764,2.781108025,24.73461425,12.354504455557482,13.589228512617735,4.344480556,7.01072113,2.0841994580948335,9.835910819561889,1.5108759618805727,0.7851449918309795,3.4214649758226408,73.97432977405714,93.89165342701648,71.7686265771363,21.245706322764335
KBPL6,Mafic,18.63406796,4.807061581666667,5.470394175999999,1.727377226,436.0,25.333333333333332,31.53114191,456.493925,2.161889391,10.53910107,14.477557657219652,14.584993127430542,5.608899946,9.281973162,2.007554604476457,12.619000886374355,2.3944860931542546,0.8604384768156662,2.724904300885307,59.97924552687297,77.27997789137575,60.19969937418198,51.418204512124014
KBPL8,Mafic,14.3912831325,1.7720439195,6.5896644345,1.3278822355,442.75,24.25,37.05045198,462.2614193,2.091845916,18.11281579,12.476539275405623,17.71184564628325,4.345220463,7.498181891,1.9193030179454205,12.634794909018165,0.9232747007280493,0.6918564828400438,3.4333632432642753,65.89840546118442,94.90264400945442,66.92603037593693,20.985292403464523
KBPL9,Mafic,6.968905875500001,0.80913116345,1.45318741615,0.267193008625,440.5,24.0,34.41542999,465.0875732,2.085732289,12.08856282,13.513925972598317,16.50040619858285,3.72677057,7.138471524,0.9762462247093221,24.58396190689087,0.8288187374972121,0.2736942810760235,1.488546003425199,28.567035443014465,93.14377771916801,86.87778472244653,60.058018719805474
NPL1,Sedimentary,5.459219218428571,0.7827101884714286,1.338703909,0.18763132437142857,470.57142857142856,17.285714285714285,18.65664205,493.5952905,0.986370864,7.222998032,26.456813030831558,18.9144293803877,2.19500415,6.263890272,0.871538130677614,19.83357202314806,0.8980791097032985,0.21528756776889005,1.5360244857665244,-6.308369801992653,87.56639409668196,78.17377057389541,30.021795823642318
NPL10,Sedimentary,7.971691735,2.160784802,2.11253692875,0.30768385652499997,483.5,14.75,18.07623698,495.9605608,0.838944935,5.981994373,27.43715748740975,21.546392648523472,2.050951458,4.689675378,1.6998387078978756,8.677293869981789,1.2711704892708076,0.18100767743164328,1.242786694369663,51.99612685105555,78.750055416162,78.42436733566508,39.4043828037951
NPL11,Sedimentary,9.467816865,2.7730722115,2.46695269825,0.5032119599,486.75,15.0,20.28755437,482.9227038,1.04296062,9.551190572,23.80388956660625,19.451889151864624,2.032763814,4.664865487,2.0296012588969212,7.390614256985843,1.3663138014642107,0.24793636567484853,1.2154863855330762,63.57069895070924,85.69483258485431,76.22763880817969,40.20523303485585
NPL12,Sedimentary,13.592653675,5.606675301,4.0886267515,1.40122443175,467.5,17.5,16.23876689,478.4844589,0.84788958,6.375484886,29.46556608277046,19.15198308015532,2.464788076,5.105237132,2.662492127897498,6.57278938654339,2.1057997664118724,0.5262830327526682,1.5356390010169472,59.52408559672728,66.97035905400666,37.93023936528762,37.69691536689554
NPL2,Sedimentary,5.46052957175,1.0948367256,1.45834351625,0.23118276245,461.25,15.75,19.61264746,491.2650541,0.928333061,6.103422351,25.048380393413748,21.1267359571071,1.884451103,4.445066892,1.2284471087662545,12.821064812320598,0.8912363566873944,0.1881910591023979,1.187143920029763,34.62858679090029,85.39776038043031,79.72806668118892,37.003198536706044
NPL3,Sedimentary,4.333473693,0.8618953525749999,1.3399620185,0.19035361525,467.75,17.25,21.07576284,478.170036,1.213741387,11.34792643,22.688148449482174,17.364294458223,2.045256709,4.009768934,1.080729030607029,15.961447792617303,0.7975129085695852,0.1761344517071789,1.239868626224803,24.266334206779753,92.97217061205794,85.48830470858955,39.37833716575266
NPL4,Sedimentary,7.91411417925,1.9942630012500002,1.55207814125,0.32259413135000004,478.5,16.5,18.41848437,483.2660509,1.363374964,7.280973783,26.238100876918132,13.509478211307394,1.943684958,4.079847661,1.9398062959316953,8.506003942045664,1.0280732697035346,0.1663022395723574,0.8001201689597217,53.818111353938384,85.88000313771306,87.80216419080749,58.83488393185776
