region;slope;plot_id;ACW_Cstock;L_O_Cstock;Root_Cstock;NPProot;NPPLitter;NPPACW;root_allocation;litter_allocation;ACW_allocation;trees;wd; BA;NMDS1;NMDS2;richness;shannon;dbh;tree_height;CEC;ECEC;pH;clay;NH4;Bio_P;K;Ca;Mg;Base_ex;NO3;Ca_total_spec;K_total_spec;Mg_total_spec;TRB;P_total_spec;N_total_spec;CN;SOC
Mafic;PL;KBPL1;105.9441007;17.63649628;;;;3.757869868;;;;550;0.473106818;36.16975337;-0.984468627;-1.006125449;17;2.353136021;23.765;11.06666667;33.45269007;8.843668375;3.27;61.6;134.2191643;37.69869222;0.281;1.667;0.449;2.397;8.122515143;0.07873;0.06096;0.19465;0.33434;0.10337828;0.40989;10.73187928;192.9663319
Mafic;V;KBPL10;87.26648073;14.68060067;3.657185992;0.464565627;4.19455555;6.110827002;4.313536326;38.94684989;56.73961379;275;0.429179545;28.79189957;-0.739477498;-1.49429596;10;1.73219952;31.52318182;14.11428571;50.57383311;33.20573087;5.4;46.88;178.4325002;32.77535561;0.793;24.251;7.359;32.403;21.74214271;0.42266;0.16286;0.42926;1.01478;0.18082544;0.66521;9.519685513;208.4373015
Mafic;V;KBPL11;120.2523955;11.28195429;4.038030126;2.766540584;4.725869342;8.421607267;17.38430059;29.69626892;52.91943049;675;0.542242593;37.40150331;-1.363059163;-0.706467796;9;1.664273039;22.94583333;15.26428571;41.17152828;15.77204098;4.35;27.6;152.5681142;35.24962165;1.279;8.972;3.578;13.829;9.503379684;0.33537;0.15339;0.47645;0.96521;0.334981127;0.75886;10.56928814;269.6582828
Mafic;V;KBPL12;72.68466393;9.729831137;5.962814477;1.288812957;4.608301026;4.508944742;12.38521703;44.28478781;43.32999516;450;0.483733333;26.3115644;-0.410828256;-0.985825874;12;1.893010921;23.66847222;18.444;50.18471622;9.990886736;3.6;24.88;167.9017591;33.76002293;0.332;2.904;1.405;4.641;6.446325006;0.18913;0.11838;0.33763;0.64514;0.274478546;0.75356;11.76991879;269.0987945
Mafic;UP;KBPL13;61.47164732;;3.526326229;0.923887372;3.518584778;1.472669521;15.61902357;59.48437034;24.89660608;500;;24.67124388;-0.384463217;-1.38395565;15;1.970839573;22.1825;11.49873418;45.70987202;26.41547279;5;48.24;183.0745978;20.25601393;0.5625;18.0135;7.0365;25.6125;14.08220734;;;;;;;;
Mafic;PL;KBPL14;101.1586694;;3.83599897;1.682767617;5.043626609;7.016345299;12.24477561;36.70029982;51.05492457;537.5;0.443598837;34.27697928;-0.610976832;-1.117252549;13;2.192250271;23.7677907;10.81395349;45.70987202;26.41547279;5;48.24;183.0745978;20.25601393;0.5625;18.0135;7.0365;25.6125;14.08220734;;;;;;;;
Mafic;MS;KBPL15;75.76729117;;3.600365306;0.163868053;3.90921884;5.7888361;1.661623733;39.63951901;58.69885725;518.75;0.436731704;28.34854588;-0.811721722;-1.004445863;18;2.390871077;23.21927711;11.90722892;45.70987202;26.41547279;5;48.24;183.0745978;20.25601393;0.5625;18.0135;7.0365;25.6125;14.08220734;;;;;;;;
Mafic;MS;KBPL16;107.9182255;;4.47652307;1.101473828;4.605122424;5.866052588;9.517905911;39.79315788;50.68893621;706.25;0.442067257;39.02256719;-0.58966906;-1.210965555;18;2.476498838;23.18442478;13.96168224;45.70987202;26.41547279;5;48.24;183.0745978;20.25601393;0.5625;18.0135;7.0365;25.6125;14.08220734;;;;;;;;
Mafic;UP;KBPL4;96.18427195;12.55137464;;;;7.575535058;;;;606.25;0.483941237;34.80083273;-0.962967;-0.805640045;16;2.393476121;24.12525773;13.38333333;58.74528773;8.35820513;3.3;61.6;181.6511017;34.88535701;0.256;1.507;0.528;2.291;9.231539333;0.01471;0.04762;0.15431;0.21664;0.114404417;0.51829;11.37042968;201.5973209
Mafic;UP;KBPL5;97.91499964;11.88728821;;;;6.782891753;;;;612.5;0.462844898;37.94388543;-0.894662446;-0.906259724;16;2.266573489;24.37173469;10.865;39.12;9.346273426;3.44;55.6;158.7529332;31.77004525;0.332;2.545;1.015;3.892;8.546506708;0.10867;0.07599;0.26131;0.44597;0.156629847;0.39278;10.40933856;188.4217679
Mafic;UP;KBPL6;115.4698747;7.186845201;7.368538168;0.941409058;5.538176033;7.202652455;6.88051976;40.47712236;52.64235788;531.25;0.432081176;41.35268936;-0.987106466;-1.402286287;12;1.924981408;26.57623529;13.55;40.84591093;19.62521471;4.6;49.6;187.7166954;7.736672246;0.332;11.776;6.714;18.822;6.422271977;0.29889;0.13818;0.35931;0.79638;0.192897551;0.63233;9.495658912;190.1050097
Mafic;MS;KBPL7;118.3727885;16.02121356;;;;7.839180335;;;;581.25;0.487450538;39.7002784;-0.81469689;-0.729844705;14;2.065030103;25.65903226;11.07142857;39.67856027;21.78410368;4.85;52.88;139.3262431;30.24335392;1.3;11.856;7.447;20.603;16.38503574;0.24634;0.11354;0.34077;0.70065;0.155147231;0.39702;9.878293285;161.7832785
Mafic;MS;KBPL8;118.6307631;8.509296899;;;;7.664689198;;;;556.25;0.470773034;41.36766453;-1.034024318;-0.920117836;16;2.528503193;26.58730337;16.23636364;37.73297583;10.52738753;3.5;34.88;83.87239708;27.14868519;0.256;4.95;1.15;6.356;4.26862072;0.09394;0.0719;0.22103;0.38687;0.131352458;0.46461;11.05729537;198.0492259
Mafic;MS;KBPL9;112.5794469;7.743181171;;;;7.052878773;;;;556.25;0.488602247;67.14100349;-1.02294548;-1.082688572;18;2.583286725;28.48460674;11.19428571;39.28944338;10.469637;3.35;62.88;113.3580583;19.69334688;0.256;3.343;1.897;5.496;8.722456301;0.12879;0.07344;0.24799;0.45022;0.098705476;0.39874;10.62923208;164.9945481
Mixed;PL;NPL1;188.963371;53.94927582;14.73975954;6.060278542;4.312070021;4.200088621;41.58726825;29.59058918;28.82214257;331.25;0.607466038;44.58768815;-0.808060212;1.060240095;13;1.812611938;34.10943396;19.99375;31.11798875;8.733707864;3.16;26.88;66.36974972;7.736672246;0.128;0.1;0.12;0.348;24.19951046;-0.06714;0.02276;0.07266;0.02828;0.113242567;0.53005;13.92372418;164.5177113
Mixed;V;NPL10;227.0951736;15.97250554;8.555903979;4.542675114;6.805398262;3.60703158;30.37541446;45.5055199;24.11906563;593.75;0.594982105;57.19685808;-1.181706167;1.786331726;15;2.251951353;28.12947368;19.16470588;15.77346266;5.689422496;2.97;15.6;78.13404663;15.5650316;0.179;0.319;0.174;0.672;4.451439866;0.10926;0.09021;0.16272;0.36219;0.039647716;0.34482;16.56426541;184.2743146
Mixed;V;NPL11;238.8275754;15.52212858;6.672556504;2.151786881;5.38431867;5.249096872;16.83029185;42.11367557;41.05603258;575;0.599526087;58.90188785;-1.490772866;1.37750872;17;2.071145963;28.54565217;17.71764706;19.38649833;7.443491338;2.97;11.2;135.2845039;35.18123629;0.153;0.519;0.194;0.866;5.867075326;0.08189;0.05835;0.18384;0.32408;0.019321179;0.72221;15.35798452;142.4635497
Mixed;V;NPL12;167.9022492;15.67789669;7.601166813;3.826887353;4.834619078;3.572193584;31.28152029;39.51886242;29.19961728;606.25;0.614493814;45.1004169;-1.250605158;1.531506994;15;2.320966633;25.90309278;15.7;17.96663642;6.116427443;3.125;34.64;93.08128937;10.35392569;0.166;0.419;0.184;0.769;2.514924227;0.17488;0.07076;0.16481;0.41045;-0.099804605;0.36954;14.7295286;62.19559347
Mixed;PL;NPL2;146.3766673;31.43086919;14.48273202;4.546233835;5.660575306;2.238438799;36.52987756;45.48382912;17.98629332;493.75;0.606634177;38.4606993;-0.617268377;1.545977704;13;1.749745469;27.08734177;16.6962963;30.33975498;9.827163445;2.85;48.88;43.9395406;1.899001688;0.077;0.14;0.087;0.304;23.46467647;-0.04342;0.02362;0.05749;0.03769;0.122544308;0.41379;15.11638754;118.6101211
Mixed;PL;NPL3;201.9100557;33.97917583;13.89455183;7.224631645;5.7572433;1.971853751;48.31324542;38.5003862;13.18636837;412.5;0.633995455;44.01559788;-0.420926202;1.19972902;12;1.854913004;28.40151515;16.49666667;30.72887187;9.52140372;2.68;48.88;49.12819978;2.061122573;0.102;0.22;0.099;0.421;14.79099095;0.03665;0.04858;0.08495;0.17018;0.093079972;0.43956;15.07632633;142.0956544
Mixed;UP;NPL4;185.9356114;48.37432408;13.54955556;7.346234172;4.672616904;2.958464636;49.0490707;31.19795959;19.75296971;456.25;0.621120548;47.93644721;-0.801841539;1.677230186;17;2.282416971;33;14.54;10.49479374;5.572081559;2.98;38.88;59.51964461;2.274342189;0.051;0.14;0.072;0.263;19.21520515;0.11771;0.11045;0.11861;0.34677;0.104293667;0.22851;17.3717124;121.4102267
Mixed;UP;NPL5;275.9499369;46.30593894;17.32647823;7.588284617;6.685474249;1.762520969;47.31948242;41.68968313;10.99083445;700;0.629559821;68.6294301;-0.816677487;1.738536662;12;1.988406326;30.78392857;14.31176471;10.36942471;4.990043655;3.316666667;46.88;32.72098866;3.601042023;0.064;0.14;0.0595;0.2635;19.8446882;0.05751;0.08908;0.06622;0.21281;0.109437924;0.19507;17.7932537;122.8936475
Mixed;UP;NPL6;144.7104416;46.8181785;9.376696011;2.951333258;4.407155077;2.548408243;29.79069414;44.48572812;25.72357774;412.5;0.589875758;37.9708355;-0.357245618;1.483437301;16;2.207106703;29.98333333;13.21428571;11.83196921;6.707712769;2.87;20.88;41.28015274;2.132195778;0.102;0.03;0.086;0.218;7.098514686;0.09861;0.08908;0.13915;0.32684;0.052295619;0.22769;14.36505775;86.36150485
Mixed;MS;NPL7;231.0257563;49.37762161;8.370117553;4.476443407;5.210753194;4.160502986;32.32626025;37.62901673;30.04472302;468.75;0.632974667;56.12268614;-0.546871808;1.386523921;12;1.644179655;32.68933333;19.11764706;24.64182294;9.065331664;2.96;24.88;54.00433119;4.26439194;0.153;0.03;0.117;0.3;46.5196498;-0.0528;0.02253;0.02728;-0.00299;0.031947027;0.37919;15.61365015;131.997606
Mixed;MS;NPL8;263.3698414;52.72351207;14.186151;6.747244814;4.402827961;4.789824745;42.32928603;27.62143204;30.04928193;525;0.633010714;65.23616831;-0.44472415;1.387673872;19;2.159973832;34.83333333;18.45333333;33.83864101;9.923108324;3.23;22.88;88.07098625;2.700781421;0.153;0.09;0.156;0.399;215.3535389;0.0063;0.04584;0.13077;0.18291;0.071185652;0.46395;13.97129001;156.9301285
Mixed;MS;NPL9;204.5058506;37.26203184;13.71008548;8.5609934;5.492154067;4.174132145;46.96802585;30.13150719;22.90046696;581.25;0.622403226;51.01875933;-0.679576309;1.435126233;15;1.964207287;28.03655914;14.57058824;23.65644958;8.327074863;3.35;48.88;14.26668473;2.771854627;0.102;0.08;0.138;0.32;28.03211114;0.05425;0.06217;0.1014;0.21782;0.069609734;0.29289;15.27136468;76.89730416
