region;plotID;slope;Species;N;C;P;CN;NP;CP;K;Mg;Ca;Na;Fe;Al;Mn;Si
Mafic;KBPL7;MS;Alangium Chinense;3.92;44.68666667;3310.53;11.40978272;11.9675391;136.7139591;21203.93;4943.816667;11111.75333;95.87666667;228.84;90.82666667;30.26333333;203.5966667
Mafic;KBPL7;MS;Dombeya Goetzenii;4.175;43.26;2959.445;10.40103168;14.32439564;147.8264942;29638.135;7575.645;15008.175;80.705;513.155;327.225;91.855;556.405
Mafic;KBPL7;MS;Maesa Lanceolata;3.363333333;47.89666667;2723.753333;14.29598471;12.38863771;177.2329338;25122.38667;3880.976667;7216.706667;35.18666667;261.8233333;115.9433333;125.0866667;197.9333333
Mafic;KBPL7;MS;Neoboutonia Macrocalyx;3.43;45.48;3246.17;13.27654142;10.56334996;140.1814005;16135.84;8128.86;10128.93;82.625;277.66;161.37;50.93;491.635
Mafic;KBPL8;MS;Allophylus Kivuensis;4.45;48.03;2550.506667;10.80160815;17.47217888;188.853687;15928.59;3073.803333;4626.186667;25.27666667;230.6266667;130.1633333;772.3033333;434.8466667
Mafic;KBPL8;MS;Dombeya Goetzenii;3.93;45.59;2443.935;11.63659117;16.06541772;186.5819685;17483.87;4354.36;10761.7;48.48;303.775;183.055;617.38;468.03
Mafic;KBPL8;MS;Macaranga Kilimandsharica;3.33;45.11;1616.89;13.54654655;20.59509305;278.9923866;10966.32;3190.77;6968.08;33.24;385.16;322.6;1161.35;621.73
Mafic;KBPL8;MS;Macaranga Spinosa;2.54;46.195;1326.025;18.18998713;19.15686409;348.3789495;8449.35;2592.965;6157.82;20.87;178.96;137.495;1769.72;2390.38
Mafic;KBPL8;MS;Maesa Lanceolata;3.215;48.575;1794.48;15.14756523;17.96159374;270.9626775;18419.56;2336.165;7579.795;28.83;192.6;151.315;517.815;208.085
Mafic;KBPL8;MS;Neoboutonia Macrocalyx;4.075;47.885;2665.875;11.75388554;15.49508418;182.3958093;14296.985;4006.53;7346.435;65.75;166.605;147.345;355.98;337.11
Mafic;KBPL8;MS;Tabernaemontana Johnstonii;3.5875;45.845;1845.805;12.80300185;19.54439376;251.0364868;21091.545;5175.2475;6012.4475;25.4525;202.1175;672.7225;2377.9525;247.945
Mafic;KBPL9;MS;Alangium Chinense;4.383333333;46.18;2916.59;10.57366165;15.0360705;158.6289345;17424.28333;4062.843333;10179.29;63.33;146.28;75.66666667;81.56;196.33
Mafic;KBPL9;MS;Dombeya Goetzenii;4.286666667;44.56666667;3243.443333;10.47615362;13.46738419;142.1607569;29114.80667;5284.323333;11132.49333;62.19666667;352.8366667;270.75;303.33;433.3266667
Mafic;KBPL9;MS;Myrianthus Holstii;2.58;43.99;1512.64;17.0494228;17.23999443;293.8658914;9993.265;3773.92;6755.28;36.19;399.865;315.9;227.725;1369.04
Mafic;KBPL9;MS;Neoboutonia Macrocalyx;3.89;46.475;2673.215;11.98468877;14.56251569;174.6325648;11909.455;5393.085;9545.16;127.79;200.41;221.385;293.905;558.69
Mafic;KBPL9;MS;Trichylia Volkensii;3.07;47.54;1547.69;15.48534202;19.83601367;307.167456;6194.62;2754.88;4954.54;21.28;174.11;147.03;472.04;918.94
Felsic;UPL1;PL;Aphania Senegalensis;2.3755;45.5015;1906.14;19.16749204;18.54129596;361.8009664;13765.28;3621.3;11127.815;194.11;298.505;200.14;270.055;355.94
Felsic;UPL1;PL;Banquetredendron Oblanceolatum;2.1675;47.7195;944.305;22.09902985;23.30911328;511.3605707;10987.95;2910.09;8308.07;70.41;382.485;194.17;86.175;542.645
Felsic;UPL1;PL;Celtis Durandii;3.12025;42.285;2215.89;13.9913704;15.48222737;214.0072864;20473.845;2438.4375;8142.2025;65.5525;289.8775;106.165;100.84;839.8875
Felsic;UPL1;PL;Chryssophylum Albidum;2.325;49.224;1271.32;21.1716129;18.28807853;387.1881194;9849.86;1733.03;7386.47;53.79;141.7;89.22;46.57;164.65
