region;plotID;slope;Species;N;C;P;CN;NP;CP;K;Mg;Ca;Na;Fe;Al;Mn;Si
Mixed;NPL3;PL;Cleistanthus Polystachyus;2.07;48.68725;1009.7875;23.5640999;20.82148565;490.0282542;6151.0675;2016.57;4836.9875;24.125;187.7375;116.455;425.015;1097.86
Mixed;NPL3;PL;Diospyros Gabunensis;2.646;49.589;827.04;18.85127262;32.01364678;603.1027969;9018.706667;2167.54;3594.156667;11.32666667;248.2333333;619.4633333;494.6866667;416.2233333
Mixed;NPL3;PL;Parinari Excelsa;1.925;46.94;1409.03;24.38441558;13.66188087;333.1369808;13626.71;2009.39;3928.94;30.63;204.21;181.74;30.63;1055.75
Mixed;NPL4;UP;Carapa Grandiflora;1.904333333;49.123;1381.843333;25.79793736;14.73266684;379.9473366;10961.21;1950.47;3538.663333;17.04333333;201.1833333;153.35;71.58666667;602.92
Mixed;NPL4;UP;Cleistanthus Polystachyus;2.167666667;48.57733333;971.57;22.53475272;22.41068104;506.2515251;5272.08;1363.353333;2596.953333;23.50666667;250.7333333;195.2633333;383.8833333;484.2533333
Mixed;NPL4;UP;Melchiora Schliebenii ;1.8545;49.32;2739.645;26.76459918;7.304793663;199.2553148;5625.805;2595.165;5156.92;45.86;272.02;888.15;498.96;435.905
Mixed;NPL4;UP;Pentadesma Reindersii;1.7895;48.7205;738.93;27.22569864;24.47932551;665.8988813;6017.245;1970.035;3400.215;25.12;427.895;379.635;320.545;410.525
Mixed;NPL4;UP;Syzygium Guineense;1.708333333;46.94933333;859.02;27.86600892;20.28122865;567.7617145;5903.79;1732.326667;4515.586667;21.32;310.48;305.2166667;337.96;404.6266667
Mixed;NPL5;UP;Cleistanthus Polystachyus;1.8;48.4282;870.65;27.00877825;20.79280825;561.9821911;6245.22;3241.952;9147.728;59.352;253.232;177.634;610.606;373.81
Mixed;NPL5;UP;Melchiora Schliebenii ;1.7645;47.851;729.77;27.17004674;24.31185646;663.728053;6348.62;2036.02;3196.26;17.385;236.015;455.36;463.285;277.755
Mixed;NPL5;UP;Pentadesma Reindersii;1.6375;47.7665;744.485;29.30992035;22.08572521;650.0957984;6559.185;1761.34;3519.885;22.985;178.24;501.61;250.495;482.475
Mixed;NPL5;UP;Syzygium Guineense;1.674;86.1005;937.96;49.41449415;18.40800076;984.3526286;8237.76;2306.97;5801.745;34.065;242.585;251.85;232.295;420.825
Mixed;NPL6;UP;Cleistanthus Polystachyus;2.151666667;47.72966667;999.7233333;22.4447987;21.63787188;479.4698253;7143.816667;2332.313333;6918.003333;43.59333333;277.5866667;196.4766667;372.95;638.5466667
Mixed;NPL6;UP;Diospyros Gabunensis;2.156;50.13233333;981.4966667;23.34699195;22.93256487;528.196395;8867.33;2607.92;5085.92;14.31;225.4133333;357.92;486.9666667;382.74
Mixed;NPL6;UP;Strombosia Scheffleri;3.345333333;48.447;1539.933333;14.51466851;22.14195576;322.653334;8901.25;1407.146667;2914.006667;18.82;259.5933333;170.6833333;253.75;251.1433333
Mixed;NPL6;UP;Syzygium Guineense;1.7305;47.763;675.68;27.75438989;26.0774492;729.9298561;7090.31;1988.145;4947.02;20.54;231.805;219.065;426.775;386.27
Mixed;NPL7;MS;Cleistanthus Polystachyus;1.92125;47.66975;1135.1775;25.7034245;17.65581656;437.6515938;8044.22;1600.05;6063.18;21.555;231.8025;103.8975;419.975;1462.69
Mixed;NPL7;MS;Ocotea Usambarensis;2.082;50.99;985.5;24.49087416;21.12633181;517.4023338;5324.86;1559.71;3999.6;17.88;230.48;260.28;443.08;351.68
Mixed;NPL7;MS;Pentadesma Reindersii;1.8995;49.325;842.93;26.04374653;22.53088579;586.6838891;5980.77;2027.995;4050.12;24.48;234.085;195.735;571.265;1271.91
Mixed;NPL8;MS;Cleistanthus Polystachyus;2.16075;48.19675;857.6675;23.06566552;25.21858647;565.3215373;6028.8625;1720.7525;3951.79;20.38;284.675;195.3825;710.6625;815.3925
Mixed;NPL8;MS;Pentadesma Reindersii;2.161;46.952;782.55;21.72697825;27.61484889;599.9872213;5609.62;2695.01;3970.65;13.97;385.29;972.2;828.47;497.08
Mixed;NPL9;MS;Cleistanthus Polystachyus;2.062333333;48.66033333;928.3066667;23.64932959;22.52958762;532.0064735;7232.703333;1467.396667;3242.84;36.56;506.8633333;208.2566667;243.93;1104.75
Mixed;NPL9;MS;Parinari Excelsa;1.727;45.225;1895.83;26.18702953;9.109466566;238.54987;23213.84;1407.75;3150.254;64.54;219.84;292.44;38.32;296.48
Mixed;NPL9;MS;Strombosia Scheffleri;3.613666667;48.083;1359.09;13.33934437;27.25846924;362.0682858;7265.42;1290.91;2514.523333;16.91333333;285.2633333;161.1666667;166.4233333;564.46
