plotID,TC_bulk,TN_bulk,CN,P_avail,BD,clay,silt,sand,pH_KCL,bases_in_CEC,CEC,bases_in_ECEC,ECEC,exch_bases_Mg,exch_bases_Ca,exch_bases_K,exch_base,exch_acidity_Al,Ca,K,Mg,Na,TRB,P,AL,Fe,Mn,Si
KBPL8,4.88736,0.457213333,8.54209,2.661273333,0.997786667,54.21274333,33.44451,12.4877,3.6476,8.614216667,37.47696,37.22522333,10.29872333,1.349566667,3.294356667,0.231783333,4.875706667,3.987126667,0.076876667,0.06789,0.217066667,0.024153333,0.385986667,0.140371639,8.896396667,10.7273,0.255833333,10.83626667
KBPL9,3.480753333,0.338386667,9.73792,2.939053333,1.08144,57.23592667,27.66851667,14.48937,3.828613333,20.04397667,35.98299333,46.29854,10.35254667,2.061793333,3.948136667,0.33254,6.34247,3.16876,0.128903333,0.075516667,0.254976667,0.03376,0.493156667,0.108664797,9.423176667,10.70889,0.264496667,11.61653333
NPL1,5.08699,0.34111,15.27031333,1.012113333,1.03932,37.61029667,50.97853,11.22621333,3.323043333,0,29.04519,1.719676667,7.441396667,0.008613333,0,0.082126667,0.09074,6.05178,0,0.039846667,0.09436,0.00096,0.135166667,0.081109475,5.208463333,7.62001,0.004646667,12.54676
NPL10,4.000723333,0.222613333,34.90630333,23.50895667,1.455203333,21.31789333,49.19512333,29.48458667,3.256736667,9.415843333,11.29243,8.59239,5.304733333,0.44261,0.463826667,0.090443333,0.99688,2.6888,0.03642,0.059946667,0.07701,0.00594,0.179316667,0.023698402,0.27444,1.486536667,0.011836667,23.49658333
NPL11,6.55717,0.332901429,55.75109,31.66524,0.989975714,24.12364143,70.05127286,3.794558571,3.143937143,12.65568286,10.29950429,11.86023286,11.93021,0.179038571,3.287512857,0.046375714,3.512927142,3.645185714,0.015514286,0.025128571,0.058424286,0.013514286,0.112581429,0.004852846,0.325055714,0.804087143,0,21.57048714
NPL12,2.58022,0.154066667,36.93669333,28.33443,1.433406667,21.29187,57.40248,18.39785333,3.492256667,28.28824667,6.700453333,24.75241333,7.566916667,0.816923333,2.636093333,0.240013333,3.693029999,1.756443333,0.080823333,0.0475,0.083983333,0.024773333,0.237079999,0.010698379,0.781506667,0.96694,0.017353333,25.70174667
NPL2,4.59969,0.29569,11.26847333,1.958543333,1.025823333,49.82162333,35.93177333,15.40580333,3.298983333,1.83051,28.39927333,8.005103333,7.50177,0.204883333,0,0.141426667,0.34631,6.169086667,0.025773333,0.047136667,0.09108,0.012126667,0.176116667,0.091921469,5.35825,10.27715333,0.088426667,13.8792
NPL3,4.691933333,0.296603333,7.72464,2.657986667,1.036343333,47.68155,36.87081333,14.59801,3.41962,4.34252,26.69817,11.61912,6.940416667,0.289016667,0.142613333,0.17529,0.60692,6.34459,0.02972,0.05223,0.087973333,0.016226667,0.18615,0.078266348,4.13992,9.786316667,0.043106667,13.8563
NPL4,3.109326667,0.16578,41.02888333,0,1.487376667,45.74055667,19.28595333,41.00120333,3.043793333,4.369053333,4.482873333,0,4.735246667,0.02409,0,0.066383333,0.090473333,4.010876667,0.092173333,0.10619,0.063466667,0.006283333,0.268113333,0.137478131,0.91362,7.564713333,0.038366667,24.92875
NPL5,3.353431538,0.048239231,143.3240638,25.05788231,1.638023077,39.78377769,12.15644462,47.09232538,3.746549231,20.92504231,4.868263846,18.54413,5.166861538,0.677409231,1.195311538,0.049152308,1.921873077,1.486240769,0.024563077,0.042587692,0.021098462,0.023808462,0.112057693,0.059769022,1.219073077,4.90258,0.116578462,24.52590615
NPL6,2.93181,0.200686667,10.29345667,5.418663333,1.35019,23.92742667,54.95387333,20.88705333,3.185893333,3.52164,15.42033,2.968303333,8.261313333,0.144206667,1.048153333,0.09515,1.28751,3.95391,0.05263,0.078616667,0.120913333,0,0.25216,0.067316874,2.22663,4.695373333,0,20.01681667
NPL7,4.90198,0.301863333,19.59892,12.42955333,1.08888,27.85639667,60.37178,11.85859,3.185963333,0.90272,24.15949667,3.727376667,6.261323333,0.015633333,0,0.069836667,0.08547,5.996823333,0,0.03146,0.048836667,0.003166667,0.083463334,0.046714158,3.855803333,6.18413,0,14.84254333
NPL8,5.90595,0.456443333,4.239486667,3.51673,0.839626667,38.15184,51.99893333,12.38513,3.003583333,0,38.15718,1.49331,6.332006667,0.18196,0,0.12265,0.30461,7.096006667,0.015303333,0.05555,0.18212,0.005773333,0.258746666,0.132582098,7.85116,8.43922,0.043066667,11.53523
NPL9,3.67966,0.237516667,8.343903333,6.092203333,1.175773333,50.45954333,32.49194333,17.4713,3.573696667,5.662016667,27.29461667,13.07284333,7.205186667,0.161956667,0.284676667,0.19767,0.644303334,5.515123333,0.060706667,0.07347,0.119593333,0.0182,0.27197,0.108082597,4.423216667,8.538276667,0.075636667,14.95846667
UPL1,2.925236667,0.301236667,16.47958,29.54629,1.42064,44.26861333,51.32385,6.838393333,5.825413333,84.28550667,18.20822,93.05210333,18.36141,2.64913,14.96982,0.51553,18.13448,0.063466667,0.277843333,0.1187,0.231176667,0.019796667,0.647516667,0.032441898,3.60505,2.6152,0.08716,16.51318667
UPL10,1.91783,0.184563333,6.71638,31.02066667,1.583016667,30.99515,61.65630667,11.00149667,5.100693333,82.09851333,17.40541667,97.44921,12.55755,2.878023333,9.590353333,0.540546667,13.00892333,0.163356667,0.396913333,0.17086,0.350323333,0.02755,0.945646666,0.133060164,2.14615,1.959753333,0.207186667,22.71816667
UPL11,2.0971,0.2285,13.92743333,23.20497333,1.5054,35.55166333,56.79727,10.8573,5.634096667,87.99256667,18.46044333,99.55289,15.29198667,2.833453333,13.09556333,0.596613333,16.52563,0,0.378803333,0.155066667,0.307933333,0.01709,0.858893333,0.070841268,2.63063,2.545673333,0.15694,20.7877
UPL12,1.707781111,0.148754444,6.252616667,25.33104667,1.577492222,28.76565444,64.10600778,10.76528,5.021974444,71.46371556,13.48689889,74.25032778,12.17110444,2.038247778,9.540521111,0.44913,12.02789889,0.587191111,0.347875556,0.163038889,0.305657778,0.007108889,0.823681112,0.094581757,1.630451111,1.276602222,0.067633333,22.19445
UPL2,2.67618,0.26835,16.44024,29.42424333,1.464676667,39.15097,53.69690667,9.268613333,5.740066667,85.38896,18.49595,91.71805,17.54132,2.734526667,14.38402667,0.546003333,17.66455667,0.015043333,0.30545,0.131936667,0.251116667,0.017966667,0.706470001,0.025182381,3.047703333,1.83702,0.093136667,18.45910667
UPL3,2.855512,0.30135,17.132592,60.657702,1.441384,34.149694,56.57702,11.86551,5.765614,85.517588,22.540952,100.057524,18.382254,2.991332,15.246642,0.611442,18.849416,0.01011,0.36743,0.154422,0.310718,0.020414,0.852984,0.0770968,2.84157,1.738012,0.167062,19.469726
UPL4,1.84412,0.219633333,9.081206667,28.0414,1.50282,50.83743333,41.26523667,10.46858,5.194143333,67.40850333,19.34789333,86.60581333,14.32155,2.33519,10.52476333,0.447783333,13.30773666,0.377906667,0.23686,0.109233333,0.20478,0.02506,0.575933333,0.063642916,3.734133333,5.2244,0.14853,16.81471
UPL5,1.9276,0.206003333,14.71288667,27.37513667,1.569903333,41.26661667,52.54854667,6.801043333,5.42145,74.33300333,16.26701667,94.63903,13.90551333,2.215413333,11.25975667,0.432193333,13.90736334,0,0.254213333,0.11829,0.2108,0.024656667,0.60796,0.064486522,3.09035,3.469043333,0.157443333,18.12412
UPL6,1.43157,0.15885,9.677963333,26.96962333,1.576896667,45.51199333,46.94574667,9.654823333,5.31645,71.33370333,14.06209333,78.45978,13.65178333,2.118366667,10.42691667,0.431256667,12.97654,0.372593333,0.238196667,0.111666667,0.194403333,0.019783333,0.56405,0.030189373,2.754666667,2.832603333,0.048326667,17.72935333
UPL7,1.939686667,0.18581,15.53373667,46.87024667,1.509316667,40.39510333,45.78414333,14.66050333,4.56809,55.25828667,18.09075667,70.03594,12.61761333,1.962906667,8.089683333,0.368663333,10.42125333,1.14207,0.213146667,0.11396,0.20206,0.025746667,0.554913334,0.080572435,2.860226667,4.792303333,0.165093333,18.58466667
UPL8,2.802533333,0.246783333,16.71059333,33.01101333,1.457773333,36.99185667,51.48594333,13.25328,4.44372,47.19930667,17.67807333,60.10553,11.33517,1.426923333,7.147416667,0.293036667,8.867376667,1.596093333,0.142486667,0.0932,0.146703333,0.018083333,0.400473333,0.046262037,2.588226667,3.872443333,0.122586667,18.37563
UPL9,2.745073333,0.243796667,17.12772667,31.0653,1.425416667,38.42256667,51.18039,12.14035333,4.853806667,52.26397667,19.74824667,73.05736,13.00458667,1.65722,9.32104,0.357393333,11.33565333,0.631116667,0.20397,0.1111,0.196383333,0.020803333,0.532256666,0.095510214,3.355313333,4.86936,0.15805,17.97245
