region;plotID;slope;treeID;Species;N;C;CN;N_mass;C_mass;P;NP;CP;K;Mg;Ca;Na;Fe;Al;Mn;Si;BA;meanWD;predHeight18;DBH18
Felsic;UPL6;UP;3308;FremaOrientalis;2.927;44.302;15.13563375;29270;443020;1222.15;23.94959702;362.4923291;19136.97;6234.84;8468.55;9.4;86.49;351.6;116.57;148.54;0.512190184;0.3453;16.43383801;32.3
Felsic;UPL6;UP;3310;FuntumiaLatifolia;2.339;48.429;20.70500214;23390;484290;2314.38;10.10637838;209.252586;24756.6;3262.05;7260.32;38.44;159.55;71.12;136.48;1703.11;0.294685234;0.424;14.23669098;24.5
Felsic;UPL6;UP;3312;UvariopsisCongnesis;3.15;41.389;13.13936508;31500;413890;1447.41;21.76301117;285.952149;9570.45;4901.7;15766.26;173.21;384.25;173.21;97.56;1521.08;0.2290518;0.5193;13.25394059;21.6
Felsic;UPL6;UP;3313;CeltisDurandii;2.431;35.845;14.74496092;24310;358450;1340.81;18.13083136;267.3383999;7955.12;5669.94;27577.37;336.61;542.31;276.76;57.97;1466.11;1.26693295;0.45;19.97868658;50.8
Felsic;UPL6;UP;3314;ChryssophylumAlbidum;2.686;49.086;18.274758;26860;490860;1961.24;13.69541719;250.2804348;12085.27;1866.28;4269.38;23.26;122.09;50.39;455.43;294.57;0.216503438;0.6023;13.03680834;21
Felsic;UPL6;UP;3315;CeltisDurandii;2.961;38.3;12.93481932;29610;383000;1562.91;18.94542872;245.0556974;22860.78;3458.36;17888.41;207.35;999.56;461.64;88.02;1664.63;0.646903434;0.45;17.36457713;36.3
Felsic;UPL6;UP;3335;BanquetredendronOblanceolatum;2.326;47.285;20.3288908;23260;472850;1262.52;18.42347052;374.5287203;15364.26;2112.63;20649.74;79.76;342.38;202.31;361.83;957.11;0.727692109;0.5193;17.83122493;38.5
Felsic;UPL6;UP;3339;BanquetredendronOblanceolatum;2.096;47.663;22.73998092;20960;476630;2879.23;7.279724093;165.5407869;44789.52;2085.57;11256.95;133.92;785.78;293.44;57.11;1028.01;0.076708984;0.5193;9.293988599;12.5
Felsic;UPL6;UP;3350;BanquetredendronOblanceolatum;1.863;46.373;24.89157273;18630;463730;1137.05;16.38450376;407.836067;11591.28;2369.01;6227.6;54.24;102.66;60.05;428.09;207.26;0.050080534;0.5193;7.936619198;10.1
Felsic;UPL12;V;3356;UvariopsisCongnesis;3.438;45.476;13.22745782;34380;454760;1153.42;29.80700872;394.2709507;17029.27;2444.8;11614.7;149.45;208.84;149.45;162.86;2385.4;0.067204434;0.5247;8.860122003;11.7
Felsic;UPL12;V;3357;UvariopsisCongnesis;3.273;43.313;13.23342499;32730;433130;2013.2;16.25769919;215.1450427;20510.86;3822.86;10160.71;106.81;338.56;106.81;334.53;1690.77;0.064926484;0.5247;8.748869202;11.5
Felsic;UPL12;V;3360;ChryssophylumAlbidum;2.816;49.032;17.41193182;28160;490320;890.79;31.612389;550.4327619;6766.6;3327.15;11450.87;85.65;512.02;215.08;70.43;317.87;0.064926484;0.6023;8.748869202;11.5
Felsic;UPL12;V;3365;CeltisDurandii;2.255;35.511;15.74767184;22550;355110;870.09;25.91685918;408.1301934;7629.41;3444.11;20630.41;312.19;366.57;336.35;114.8;2777.44;0.518552734;0.45;16.4831314;32.5
Felsic;UPL12;V;3366;UvariopsisCongnesis;2.297;44.848;19.5245973;22970;448480;2101.07;10.93252486;213.4531453;21653.55;2423.44;5427.14;51.2;210.49;106.19;39.82;1558.74;2.552094409;0.5247;22.46152867;72.1
Felsic;UPL12;V;3370;BanquetredendronOblanceolatum;1.892;45.964;24.29386892;18920;459640;1098.68;17.2206648;418.3565733;11725.04;695.64;3369.67;25.19;329.41;197.65;29.07;434.05;0.206316484;0.5247;12.85194529;20.5
Felsic;UPL12;V;3372;ChryssophylumAlbidum;2.693;49.127;18.24248051;26930;491270;621.54;43.32786305;790.407697;6345.54;662.33;1687.87;77.69;229.19;143.73;54.38;2134.6;0.672093438;0.6023;17.51630383;37
