plotID;treeID;Species;N;C;CN;N_mass;C_mass;P;NP;CP;K;Mg;Ca;Na;Fe;Al;Mn;Si
KBPL5;1226;Allophylus Kivuensis;4.28;46.55;10.87;42800;465500;2331.85;18.35452538;199.6269057;13283.37;5712.93;9211.65;39.84;443.98;166.97;707.71;508.49
KBPL5;1252;Dombeya Goetzenii;3.5;46.17;13.21;35000;461700;2562.91;13.65635157;180.1467863;31962.47;3425.43;9398.61;41.7;782.9;481.49;299.51;420.83
KBPL9;1262;Neoboutonia Macrocalyx;4.11;46.54;11.31;41100;465400;2853.54;14.40316239;163.0956636;12852.82;4787.2;8825.82;117.5;158.25;170.34;274.33;496.02
KBPL9;1277;Alangium Chinense;4.03;46.28;11.47;40300;462800;2855.34;14.11390587;162.0822739;18042.92;3943.36;8443.38;50.61;128.46;68.12;68.12;155.71
KBPL9;1278;Alangium Chinense;4.62;45.93;9.94;46200;459300;3086.33;14.96923531;148.8175276;18052.12;4280.1;10872.03;67.94;141.7;83.47;91.23;236.81
KBPL9;1279;Alangium Chinense;4.5;46.33;10.31;45000;463300;2808.1;16.02507033;164.9870019;16177.81;3965.07;11222.46;71.44;168.68;75.41;85.33;196.47
KBPL9;1280;Neoboutonia Macrocalyx;3.67;46.41;12.66;36700;464100;2492.89;14.721869;186.169466;10966.09;5998.97;10264.5;138.08;242.57;272.43;313.48;621.36
KBPL9;1294;Dombeya Goetzenii;4.61;43;9.33;46100;430000;4048.89;11.38583661;106.2019467;45448.36;4662.35;9479.99;57.51;318.24;235.8;218.55;383.42
KBPL9;1295;Myrianthus Holstii;2.64;45.12;17.07;26400;451200;1687.16;15.64759715;267.4316603;11764.37;3728.91;6369.27;30.5;215.42;181.11;156.32;1298.26
KBPL9;1308;Dombeya Goetzenii;4.42;45.35;10.27;44200;453500;2999.06;14.73795122;151.2140471;23136.66;6103.68;12578.7;73.52;307.26;248.82;363.81;422.24
KBPL9;1320;Trichylia Volkensii;3.07;47.54;15.48;30700;475400;1547.69;19.83601367;307.167456;6194.62;2754.88;4954.54;21.28;174.11;147.03;472.04;918.94
KBPL9;1321;Myrianthus Holstii;2.52;42.86;17.01;25200;428600;1338.12;18.83239171;320.3001226;8222.16;3818.93;7141.29;41.88;584.31;450.69;299.13;1439.82
KBPL9;1349;Dombeya Goetzenii;3.83;45.35;11.85;38300;453500;2682.38;14.27836474;169.066277;18759.4;5086.94;11338.79;55.56;433.01;327.63;327.63;494.32
KBPL7;1403;Dombeya Goetzenii;4.52;44.86;9.92;45200;448600;2696.21;16.76427281;166.3816988;22626.74;6888.92;13162.16;61.57;595.02;364.93;73.89;581.69
KBPL7;1404;Neoboutonia Macrocalyx;3.31;45.56;13.78;33100;455600;3172.48;10.43347791;143.6100464;14525.19;8567.83;10912.79;89.15;300.39;170.54;56.2;501.94
KBPL7;1405;Neoboutonia Macrocalyx;3.55;45.4;12.78;35500;454000;3319.86;10.693222;136.7527546;17746.49;7689.89;9345.07;76.1;254.93;152.2;45.66;481.33
KBPL7;1411;Dombeya Goetzenii;3.83;41.66;10.88;38300;416600;3222.68;11.88451848;129.2712897;36649.53;8262.37;16854.19;99.84;431.29;289.52;109.82;531.12
