plotID,region_x,slope_x,N_canopy,C_canopy,P_canopy,CN,CP_canopy,NP_canopy,K_canopy,Mg_canopy,Ca_canopy,Na_canopy,Fe_canopy,Al_canopy,Mn_canopy,Si_canopy,meanWD,predHeight18,DBH18,C_g_kg,TC_bulk,N_g_kg,TN_bulk,CN_soil,P_avail,clay,silt,sand,pH_KCL,bases_in_CEC,CEC,bases_in_ECEC,ECEC,exch_bases_Mg,exch_bases_Ca,exch_bases_K,exch_base,exch_acidity_Al,Ca_soil,K_soil,Mg_soil,Na_soil,TRB_soil,P_soil,P_g_kg,NP_soil,CP_soil,RC1,RC2,RC3,plotID,lat,long,TPI,TWI,LS_FACTOR,CTI,SPI,aspect,curvature,slope_degr,slope_per
KBPL5,Mafic,UP,3.779311247,46.69151764,2781.108025,12.44686256,175.8128823,14.05037368,24734.61425,4344.480556,7010.72113,41.10882627,497.6982078,457.1253399,877.5190896,433.7394732,0.452452349,14.05254501,25.33408355,36.97573333,3.697573333,3.55486667,0.355486667,10.40144027,8.05505,58.31250333,28.91700667,12.07328667,3.67304,9.14507,35.44356333,34.76486333,8.904996667,1.385126667,2.558983333,0.235146667,4.179256667,3.76966,0.0923,0.073016667,0.240823333,0.030546667,0.436686667,0.148340437,1.48340437,2.396424564,24.92626696,-5.136232313,2.987635439,3.422367536,KBPL5,-2.30411,28.75482,1.40625,5.9983001,12.3257999,3.68174,0.328019,106.8529968,0.198162,16.5669994,29.7486
KBPL6,Mafic,UP,3.153114191,45.6493925,2161.889391,15.6385754,245.8992426,15.31840802,10539.10107,5608.899946,9281.973162,73.04528458,410.0819632,246.5394368,494.2443498,1845.311376,0.437731057,14.57227444,29.59342861,40.88546667,4.088546667,4.35226667,0.435226667,9.394062857,20.38002667,47.36954333,35.61100667,14.09224333,4.61297,42.25894333,33.48992333,72.92819667,16.19327333,2.618886667,9.711626667,0.457543333,12.78805667,1.224626667,0.282973333,0.133473333,0.34646,0.036453333,0.799359999,0.192518058,1.92518058,2.260705679,21.23721125,10.48665724,4.488428808,2.206447856,KBPL6,-2.31398,28.7524,-0.865967,7.1959901,5.2261801,11.8606005,0.218448,196.1889954,-0.0866721,7.6722798,13.4713001
KBPL7,Mafic,MS,3.610410531,46.01013762,2999.573172,12.90463062,156.0815516,12.1580425,22886.19649,5608.827438,9811.213924,65.22262566,294.6116569,151.4444756,83.57370945,318.0749691,0.514196579,12.32181231,20.0997651,30.81963333,3.081963333,2.9052,0.29052,10.60843774,73.27644,56.26819333,24.33709,15.69802,4.578273333,33.92459,39.57990333,76.74103,14.25771333,3.118993333,8.404723333,0.499286667,12.02300333,0.741083333,0.268193333,0.12203,0.368846667,0.065176667,0.824246667,0.18632655,1.8632655,1.559198085,16.54065582,13.62503154,4.353322104,5.204534051,KBPL7,-2.30447,28.75392,-0.126465,5.1908898,9.1866903,0.0029882,0.0003343,126.5189972,-0.123817,18.4431992,33.3493996
KBPL8,Mafic,MS,3.705045198,46.22614193,2091.845916,12.65880531,229.779779,18.03611065,18112.81579,4345.220463,7498.181891,35.01944522,235.8085055,387.3974172,1433.465011,442.2779162,0.502677033,14.34826933,27.95776072,48.8736,4.88736,4.57213333,0.457213333,10.68945205,2.661273333,54.21274333,33.44451,12.4877,3.6476,8.614216667,37.47696,37.22522333,10.29872333,1.349566667,3.294356667,0.231783333,4.875706667,3.987126667,0.076876667,0.06789,0.217066667,0.024153333,0.385986667,0.140371639,1.40371639,3.257163172,34.81728955,-6.121147759,4.103928794,2.279741237,KBPL8,-2.30532,28.75477,4.8427701,6.0112801,18.0272007,3.7671499,0.510334,126.7829971,0.569668,20.1562996,36.7061996
KBPL9,Mafic,MS,3.441542999,46.50875732,2085.732289,13.93256346,249.5815668,17.48866369,12088.56282,3726.77057,7138.471524,46.72692709,225.7749284,188.4562785,376.833434,774.0722729,0.548362019,19.64879679,62.9562294,34.80753333,3.480753333,3.38386667,0.338386667,10.28631939,2.939053333,57.23592667,27.66851667,14.48937,3.828613333,20.04397667,35.98299333,46.29854,10.35254667,2.061793333,3.948136667,0.33254,6.34247,3.16876,0.128903333,0.075516667,0.254976667,0.03376,0.493156667,0.108664797,1.08664797,3.114041312,32.03202352,-1.690450613,2.313882424,3.672790398,KBPL9,-2.30447,28.75519,-0.498291,5.9295802,19.9186993,3.4723599,0.553659,105.1849976,-0.309679,21.7178001,39.8308983
UPL1,Felsic,PL,2.582180592,50.03749115,1862.416015,20.54755805,299.0341602,15.35410032,20290.19728,2346.321715,11884.79917,100.9137095,275.2494475,156.7799658,92.59487109,610.992289,0.504788488,16.38812128,37.57337157,29.25236667,2.925236667,3.01236667,0.301236667,9.710758973,29.54629,44.26861333,51.32385,6.838393333,5.825413333,84.28550667,18.20822,93.05210333,18.36141,2.64913,14.96982,0.51553,18.13448,0.063466667,0.277843333,0.1187,0.231176667,0.019796667,0.647516667,0.032441898,0.32441898,9.285420569,90.16848111,15.08441067,-2.056035394,-1.108166001,UPL1,0.46225,30.37403,1.51721,5.93817,0,-86.3679962,-0.552486,195.6679993,0.161017,4.5158701,7.8980498
UPL10,Felsic,V,2.648232759,53.27513257,932.9499731,19.98913925,649.6222188,31.76648497,11074.9188,2125.701862,11162.98831,138.3150225,168.4240376,135.0805978,91.52807125,812.8252691,0.545994194,15.70444438,30.88265519,19.1783,1.91783,1.84563333,0.184563333,10.39117559,31.02066667,30.99515,61.65630667,11.00149667,5.100693333,82.09851333,17.40541667,97.44921,12.55755,2.878023333,9.590353333,0.540546667,13.00892333,0.163356667,0.396913333,0.17086,0.350323333,0.02755,0.945646666,0.133060164,1.33060164,1.387066778,14.41325444,16.34933831,-1.336035177,-1.506623058,UPL10,0.45994,30.37355,-4.8582802,9.0704803,11.1879997,27.3750992,0.476306,247.0679932,-0.594472,7.4579601,13.0906
UPL11,Felsic,V,2.896401009,43.27869477,1134.77967,16.1401131,400.533768,26.85343635,12537.311,2488.390091,14193.06267,177.7074177,317.9159391,198.0147695,95.42911085,996.1801354,0.496491233,15.13055538,37.67939054,20.971,2.0971,2.285,0.2285,9.177680525,23.20497333,35.55166333,56.79727,10.8573,5.634096667,87.99256667,18.46044333,99.55289,15.29198667,2.833453333,13.09556333,0.596613333,16.52563,0,0.378803333,0.155066667,0.307933333,0.01709,0.858893333,0.070841268,0.70841268,3.225521034,29.60280158,17.17372318,-2.22167452,-1.639331697,UPL11,0.46054,30.37317,-1.49036,7.5559101,8.1310101,13.9375,0.346423,189.7129974,-0.0371452,8.9033699,15.6655998
UPL12,Felsic,V,2.538148822,45.79488036,1410.728258,19.09577896,375.5386859,20.41872906,14287.37008,2484.648477,8987.408897,110.1723133,250.8989395,148.8069069,148.2024295,1287.263663,0.511272173,14.46410758,30.24938063,17.07781111,1.707781111,1.48754444,0.148754444,11.48053843,25.33104667,28.76565444,64.10600778,10.76528,5.021974444,71.46371556,13.48689889,74.25032778,12.17110444,2.038247778,9.540521111,0.44913,12.02789889,0.587191111,0.347875556,0.163038889,0.305657778,0.007108889,0.823681112,0.094581757,0.94581757,1.572760421,18.05613646,11.39292097,-3.197320179,-3.003559959,UPL12,0.46028,30.37242,-2.42151,6.8633499,2.2009599,7.3062901,0.0658537,206.6909943,-0.53255,5.3665199,9.3938303
UPL2,Felsic,PL,2.380466974,47.80530235,1234.48701,21.78782163,451.1479682,21.89632523,10948.62722,2262.068917,10354.59404,236.1277328,425.5433117,193.3238282,212.6625615,745.0610873,0.473638346,20.36577305,55.43866109,26.7618,2.67618,2.6835,0.26835,9.972722191,29.42424333,39.15097,53.69690667,9.268613333,5.740066667,85.38896,18.49595,91.71805,17.54132,2.734526667,14.38402667,0.546003333,17.66455667,0.015043333,0.30545,0.131936667,0.251116667,0.017966667,0.706470001,0.025182381,0.25182381,10.65626003,106.2719208,15.60609548,-2.461883102,-1.560593122,UPL2,0.46245,30.37347,0.842896,6.3797102,1.85899,0.0097445,0.0001025,178.6920013,0.0743039,5.7999701,10.1576004
