N_canopy;C_canopy;P_canopy;CN_canopy;NP_canopy;CP_canopy;K_canopy;Mg_canopy;Ca_canopy;Na_canopy;Fe_canopy;Al_canopy;Mn_canopy;Si_canopy;TN_soil;TDN_soil;NH4_soil;NO3_soil;TC_soil;P_avail_soil;CN_soil;clay;silt;sand;pH_KCL;bases_in_CEC;CEC;bases_in_ECEC;ECEC;exch_Mg;exch_Ca;exch_K;sum_exch_bases;exch_acidity_Al;Ca_soil;K_soil;Mg_soil;Na_soil;TRB_soil;P_soil;AL_soil;Fe_soil;Mn_soil;Si_soil;RC1;RC2;RC3;RC4
2.582180592;50.03749115;1862.416015;20.54755805;15.35410032;299.0341602;20290.19728;2346.321715;11884.79917;100.9137095;275.2494475;156.7799658;92.59487109;610.992289;0.301236667;183.7129;176.9568;9.5341;2.925236667;29.54629;16.47958;44.26861333;51.32385;6.838393333;5.825413333;84.28550667;18.20822;93.05210333;18.36141;2.64913;14.96982;0.51553;18.13448;0.063466667;0.277843333;0.1187;0.231176667;0.019796667;0.647516667;0.032441898;3.60505;2.6152;0.08716;16.51318667;15.98244051;-3.209335142;-1.880612129;-2.802511412
2.648232759;53.27513257;932.9499731;19.98913925;31.76648497;649.6222188;11074.9188;2125.701862;11162.98831;138.3150225;168.4240376;135.0805978;91.52807125;812.8252691;0.184563333;98.5404;86.0135;7.108;1.91783;31.02066667;6.71638;30.99515;61.65630667;11.00149667;5.100693333;82.09851333;17.40541667;97.44921;12.55755;2.878023333;9.590353333;0.540546667;13.00892333;0.163356667;0.396913333;0.17086;0.350323333;0.02755;0.945646666;0.133060164;2.14615;1.959753333;0.207186667;22.71816667;17.56970751;-5.640443474;-3.513758226;0.02757206
2.896401009;43.27869477;1134.77967;16.1401131;26.85343635;400.533768;12537.311;2488.390091;14193.06267;177.7074177;317.9159391;198.0147695;95.42911085;996.1801354;0.2285;111.5399;88.3708;8.7182;2.0971;23.20497333;13.92743333;35.55166333;56.79727;10.8573;5.634096667;87.99256667;18.46044333;99.55289;15.29198667;2.833453333;13.09556333;0.596613333;16.52563;0;0.378803333;0.155066667;0.307933333;0.01709;0.858893333;0.070841268;2.63063;2.545673333;0.15694;20.7877;17.74377082;-6.013584868;-3.204711557;-1.221091642
2.538148822;45.79488036;1410.728258;19.09577896;20.41872906;375.5386859;14287.37008;2484.648477;8987.408897;110.1723133;250.8989395;148.8069069;148.2024295;1287.263663;0.148754444;96.8395;86.5256;1.0542;1.707781111;25.33104667;6.252616667;28.76565444;64.10600778;10.76528;5.021974444;71.46371556;13.48689889;74.25032778;12.17110444;2.038247778;9.540521111;0.44913;12.02789889;0.587191111;0.347875556;0.163038889;0.305657778;0.007108889;0.823681112;0.094581757;1.630451111;1.276602222;0.067633333;22.19445;11.85177103;-8.185227709;-5.763687592;-0.372494576
2.380466974;47.80530235;1234.48701;21.78782163;21.89632523;451.1479682;10948.62722;2262.068917;10354.59404;236.1277328;425.5433117;193.3238282;212.6625615;745.0610873;0.26835;122.9958;110.2154;31.2474;2.67618;29.42424333;16.44024;39.15097;53.69690667;9.268613333;5.740066667;85.38896;18.49595;91.71805;17.54132;2.734526667;14.38402667;0.546003333;17.66455667;0.015043333;0.30545;0.131936667;0.251116667;0.017966667;0.706470001;0.025182381;3.047703333;1.83702;0.093136667;18.45910667;15.8364361;-5.531368836;-3.140700544;-2.020967005
2.164772463;42.1107152;1318.443431;19.73361131;16.52196677;320.8791335;11130.41441;1737.972303;12222.003;105.6935644;496.7372622;216.1889412;82.37846993;494.2772637;0.30135;139.7836;118.8682;23.3175;2.855512;60.657702;17.132592;34.149694;56.57702;11.86551;5.765614;85.517588;22.540952;100.057524;18.382254;2.991332;15.246642;0.611442;18.849416;0.01011;0.36743;0.154422;0.310718;0.020414;0.852984;0.0770968;2.84157;1.738012;0.167062;19.469726;20.89985746;-3.244969965;-3.598994393;-1.131262481
3.304525045;49.4723319;2318.265264;16.78758574;17.83493551;310.6711476;16891.53763;2842.17933;7819.307084;66.25841;168.0450024;105.6120289;130.4390321;703.173922;0.219633333;116.5029;132.0241;4.02705;1.84412;28.0414;9.081206667;50.83743333;41.26523667;10.46858;5.194143333;67.40850333;19.34789333;86.60581333;14.32155;2.33519;10.52476333;0.447783333;13.30773666;0.377906667;0.23686;0.109233333;0.20478;0.02506;0.575933333;0.063642916;3.734133333;5.2244;0.14853;16.81471;10.78198139;-4.385675666;0.791690066;-1.177540774
2.452855889;44.7269422;2523.97049;19.66360382;14.49577255;252.5656374;19836.64388;4142.828329;11044.95602;97.91092015;281.4992437;184.1009849;183.4167688;862.188395;0.206003333;155.4534;155.0685;6.5874;1.9276;27.37513667;14.71288667;41.26661667;52.54854667;6.801043333;5.42145;74.33300333;16.26701667;94.63903;13.90551333;2.215413333;11.25975667;0.432193333;13.90736334;0;0.254213333;0.11829;0.2108;0.024656667;0.60796;0.064486522;3.09035;3.469043333;0.157443333;18.12412;12.74483323;-5.103944892;-1.58156369;-1.333617605
2.470164152;44.82562394;1507.145496;19.24679806;17.57870548;320.5807804;17394.92128;3560.013265;13400.8101;145.0184771;405.6104134;230.8902549;181.3188665;1098.447711;0.15885;115.6764;109.6721;1.4667;1.43157;26.96962333;9.677963333;45.51199333;46.94574667;9.654823333;5.31645;71.33370333;14.06209333;78.45978;13.65178333;2.118366667;10.42691667;0.431256667;12.97654;0.372593333;0.238196667;0.111666667;0.194403333;0.019783333;0.56405;0.030189373;2.754666667;2.832603333;0.048326667;17.72935333;9.685629244;-7.875658484;-1.817059097;-1.06079343
2.796019743;46.97101515;1901.367849;17.32604179;17.32610605;311.8938041;17835.84849;3024.86887;12360.87715;86.53693015;213.447772;146.6312075;252.0093822;657.4134048;0.18581;151.9885;66.8556;115.1993;1.939686667;46.87024667;15.53373667;40.39510333;45.78414333;14.66050333;4.56809;55.25828667;18.09075667;70.03594;12.61761333;1.962906667;8.089683333;0.368663333;10.42125333;1.14207;0.213146667;0.11396;0.20206;0.025746667;0.554913334;0.080572435;2.860226667;4.792303333;0.165093333;18.58466667;6.389879821;-4.453806177;-1.289283356;0.308127354
