plotID_x,treeID,Species,N,C,CN,N_mass,C_mass,P,NP,CP,K,Mg,Ca,Na,Fe,Al,Mn,Si,forest,plotID_y,meanWD,predHeight18,predHeight20,DBH18,DBH20,TreeBA,BA per Ha,name
KBPL4,1140,Macaranga Kilimandsharica,2.47,48.29,19.54,24700,482900,1259.13,19.61671948,383.5187788,8100.19,2086.94,4759.92,29.01,419.71,102.51,1972.83,738.84,Kahuzi,KBPL4,0.4,18.51601798,18.61493643,42.0,44.59,0.156158577,0.975991104,Macaranga Kilimandsharica
KBPL4,1142,Agauria Salicifolia,3.27,48.76,14.91,32700,487600,1875.51,17.43525761,259.9826181,15146.58,2537.91,3300.44,23.11,321.57,140.57,261.88,161.75,Kahuzi,KBPL4,0.4839,19.705891,19.98083314,49.0,52.9,0.219787121,1.373669509,Agauria Salicifolia
KBPL4,1158,Neoboutonia Macrocalyx,3.35,46.44,13.86,33500,464400,2146.41,15.60745617,216.361273,15018.59,3850.12,10018.4,88.77,530.62,384.82,1042.62,530.14,Kahuzi,KBPL4,0.33,10.3068592,11.23071983,14.5,17.9,0.025165001,0.157281259,Neoboutonia Macrocalyx
KBPL4,1159,Neoboutonia Macrocalyx,4.08,48.19,11.81,40800,481900,2415.86,16.88839585,199.4734794,15738.88,2976.79,5994.2,52.22,386.85,177.95,558.99,574.47,Kahuzi,KBPL4,0.33,15.15066004,15.15963232,27.5,29.33,0.067563949,0.422274679,Neoboutonia Macrocalyx
KBPL4,1160,Tabernaemontana Johnstonii,3.12,45.82,14.66,31200,458200,1839.24,16.96352841,249.1246384,18751.87,5072.39,6302.55,33.95,569.15,653.02,3936.1,341.49,Kahuzi,KBPL4,0.5261,13.21810082,12.93111288,21.5,22.29,0.039022136,0.243888348,Taberemonta Johnstonii
KBPL4,1161,Tabernaemontana Johnstonii,3.15,45.34,14.41,31500,453400,1572.76,20.02848496,288.2830184,11999.04,7758.33,9356.03,30.69,632.94,1137.38,7108.13,448.81,Kahuzi,KBPL4,0.5261,10.54542598,10.53945558,15.0,16.31,0.020892904,0.130580653,Taberemonta Johnstonii
KBPL5,1186,Neoboutonia Macrocalyx,3.83,48.29,12.62,38300,482900,3078.94,12.43934601,156.8396916,17612.65,2927.33,4623.09,48.66,434.23,190.91,183.43,501.61,Kahuzi,KBPL5,0.33,15.89700127,16.32366906,30.2,33.76,0.089514991,0.559468694,Neoboutonia Macrocalyx
KBPL5,1187,Neoboutonia Macrocalyx,3.9,48.98,12.57,39000,489800,2892.1,13.48501089,169.357906,15670.52,3215.8,5639.69,57.8,379.58,186.9,190.75,508.67,Kahuzi,KBPL5,0.33,15.6283245,15.4853411,29.2,30.51,0.073109752,0.456935952,Neoboutonia Macrocalyx
KBPL5,1203,Tabernaemontana Johnstonii,3.23,46.27,14.32,32300,462700,1750.53,18.45155467,264.3199488,14670.4,7944.38,7032.11,30.01,478.14,1314.39,4231.27,362.11,Kahuzi,KBPL5,0.5261,15.89700127,16.9906616,30.2,36.59,0.105151559,0.657197244,Taberemonta Johnstonii
KBPL5,1204,Tabernaemontana Johnstonii,3.41,45.39,13.33,34100,453900,1961.9,17.38111015,231.3573577,19965.88,8194.48,7766.09,30.33,435.98,1116.48,2833.85,399.96,Kahuzi,KBPL5,0.5261,8.579820697,8.483340101,11.2,12.13,0.011556132,0.072225826,Taberemonta Johnstonii
KBPL5,1205,Tabernaemontana Johnstonii,3.54,44.64,12.6,35400,446400,2046.0,17.30205279,218.1818182,27227.5,6482.74,7530.1,37.47,355.99,966.79,2180.9,312.9,Kahuzi,KBPL5,0.5261,8.350264765,7.993311162,10.8,11.24,0.009922555,0.062015969,Taberemonta Johnstonii
KBPL5,1211,Allophylus Kivuensis,4.18,45.3,10.83,41800,453000,2787.14,14.99745259,162.5322015,24171.13,5357.96,6470.14,21.06,411.56,147.4,727.41,493.87,Kahuzi,KBPL5,0.5178,8.579820697,8.585341941,11.2,12.32,0.01192099,0.074506186,Allophylus Kivuensis
KBPL5,1218,Dombeya Goetzenii,3.88,45.54,11.75,38800,455400,3521.21,11.01893951,129.3305426,41556.91,3321.62,8051.94,34.93,534.24,310.63,229.95,366.59,Kahuzi,KBPL5,0.5,16.93653106,16.62267259,34.4,35.0,0.0962115,0.601321875,Dombeya Goetzenii
