plotID;region;slope;N;C;N_mass;C_mass;P;NP;CP;K;Mg;Ca;Na;Fe;Al;Mn;Si;meanWD;predHeight18;DBH18;CN
UPL9;Felsic;MS;2.874776378;46.0207802;28.74776378;460.207802;1530.49203;21.68530444;353.7321376;14249.98157;2579.187228;10267.17808;72.22847449;196.8632755;134.1490251;379.0323052;674.6743481;0.572009882;13.19895501;23.74543247;16.40604181
NPL1;Mixed;PL;1.865664205;49.35952905;18.65664205;493.5952905;986.3708643;20.55430747;544.5343535;7222.998032;2195.00415;6263.890272;40.04274959;232.0531408;270.0814504;399.908637;728.0867474;0.620299749;20.98752601;64.47943857;26.50568525
NPL10;Mixed;V;1.807623698;49.59605608;18.07623698;495.9605608;838.9449353;22.16007555;611.9889384;5981.994373;2050.951458;4689.675378;20.06623916;193.004272;213.0192478;255.5591421;404.1500743;0.627246728;20.68278298;69.52260863;27.90793872
NPL11;Mixed;V;2.028755437;48.29227038;20.28755437;482.9227038;1042.96062;21.71432364;530.5828309;9551.190572;2032.763814;4664.865487;37.18492757;259.9171918;282.1684875;181.4079793;519.0970635;0.646562845;16.21126136;38.84061442;24.58971586
NPL12;Mixed;V;1.623876689;47.84844589;16.23876689;478.4844589;847.88958;19.65357744;595.2909141;6375.484886;2464.788076;5105.237132;20.5353713;218.8914852;198.2818802;270.9826314;460.3557581;0.626394242;17.76094429;40.42380026;30.27868513
NPL2;Mixed;PL;1.961264746;49.12650541;19.61264746;491.2650541;928.3330613;21.65585733;545.3210309;6103.422351;1884.451103;4445.066892;21.15158492;182.5314845;363.1876023;246.4043995;515.1753883;0.632635739;16.88643994;34.55170078;21.2588791
NPL3;Mixed;PL;2.107576284;47.8170036;21.07576284;478.170036;1213.741387;18.89800186;418.9192507;11347.92643;2045.256709;4009.768934;25.29655135;211.0578757;266.5523639;199.256935;922.7915904;0.678518137;19.38444281;59.24231337;23.03293158
NPL4;Mixed;UP;1.841848437;48.32660509;18.41848437;483.2660509;1363.374964;16.78584973;446.707593;7280.973783;1943.684958;4079.847661;25.17974692;275.8460039;366.0479971;292.9682201;476.1892294;0.605143784;19.157714;47.58581188;26.5135784
NPL5;Mixed;UP;1.735244838;54.54363078;17.35244838;545.4363078;792.5985288;22.33091068;699.2148817;6689.668092;2250.34931;4735.105513;28.46176753;231.1364655;378.9777813;415.890351;351.1717982;0.63834007;16.71387969;37.50957044;31.31716323
NPL6;Mixed;UP;2.158060492;48.1726835;21.58060492;481.726835;937.4405582;23.97136555;576.4495824;7637.133086;2048.12;5078.020949;24.83484217;246.4124467;223.1800346;392.3663444;421.653702;0.612628403;18.17373801;45.38282813;23.69903452
NPL7;Mixed;MS;2.000898266;49.93610722;20.00898266;499.3610722;968.766051;20.95311503;524.3458967;5979.091497;1704.779909;4364.044572;20.45078582;231.7681973;214.7381895;477.0064871;811.5145453;0.600609273;22.97032397;93.4481918;25.15466285
NPL8;Mixed;MS;2.160780878;48.04301063;21.60780878;480.4301063;848.3897194;25.51454942;569.6031043;5977.081757;1841.083279;3954.119403;19.58829935;297.101983;291.3274173;725.2129328;776.0776461;0.655628817;16.37343458;33.27367319;22.90032393
NPL9;Mixed;MS;2.220311842;46.30454642;22.20311842;463.0454642;1656.500341;15.01200202;301.6623391;17551.62605;1386.326543;3007.361263;49.87196827;268.2039884;251.2089661;92.56814335;452.8826895;0.667764428;20.06053465;61.40861547;22.79886183
