plotID,region,slope,N_canopy,C_canopy,P_canopy,CN,CP_canopy,NP_canopy,K_canopy,Mg_canopy,Ca_canopy,Na_canopy,Fe_canopy,Al_canopy,Mn_canopy,Si_canopy,C_g_kg,TC_bulk,N_g_kg,TN_bulk,P_avail,P_g_kg,CN_soil,NP_soil,CP_soil,CEC,bases_in_CEC,ECEC,bases_in_ECEC,exch_bases_Mg,exch_bases_Ca,exch_bases_K,exch_base,exch_acidity_Al,pH_KCL,Ca_soil,K_soil,Mg_soil,Na_soil,TRB_soil,clay,silt,sand,TPI,TWI,LS_factor,CTI,SPI,aspect,curvature,slope_per
UPL1,Felsic,PL,2.582180592,50.03749115,1862.416015,20.54755805,299.0341602,15.35410032,20290.19728,2346.321715,11884.79917,100.9137095,275.2494475,156.7799658,92.59487109,610.992289,29.25236667,2.925236667,3.01236667,0.301236667,29.54629,0.32441898,9.710758973,9.285420569,90.16848111,18.20822,84.28550667,18.36141,93.05210333,2.64913,14.96982,0.51553,18.13448,0.063466667,5.825413333,0.277843333,0.1187,0.231176667,0.019796667,0.647516667,44.26861333,51.32385,6.838393333,1.51721,5.93817,0,-86.3679962,-0.552486,195.6679993,0.161017,7.8980498
UPL10,Felsic,V,2.648232759,53.27513257,932.9499731,19.98913925,649.6222188,31.76648497,11074.9188,2125.701862,11162.98831,138.3150225,168.4240376,135.0805978,91.52807125,812.8252691,19.1783,1.91783,1.84563333,0.184563333,31.02066667,1.33060164,10.39117559,1.387066778,14.41325444,17.40541667,82.09851333,12.55755,97.44921,2.878023333,9.590353333,0.540546667,13.00892333,0.163356667,5.100693333,0.396913333,0.17086,0.350323333,0.02755,0.945646666,30.99515,61.65630667,11.00149667,-4.8582802,9.0704803,11.1879997,27.3750992,0.476306,247.0679932,-0.594472,13.0906
UPL11,Felsic,V,2.896401009,43.27869477,1134.77967,16.1401131,400.533768,26.85343635,12537.311,2488.390091,14193.06267,177.7074177,317.9159391,198.0147695,95.42911085,996.1801354,20.971,2.0971,2.285,0.2285,23.20497333,0.70841268,9.177680525,3.225521034,29.60280158,18.46044333,87.99256667,15.29198667,99.55289,2.833453333,13.09556333,0.596613333,16.52563,0,5.634096667,0.378803333,0.155066667,0.307933333,0.01709,0.858893333,35.55166333,56.79727,10.8573,-1.49036,7.5559101,8.1310101,13.9375,0.346423,189.7129974,-0.0371452,15.6655998
UPL12,Felsic,V,2.538148822,45.79488036,1410.728258,19.09577896,375.5386859,20.41872906,14287.37008,2484.648477,8987.408897,110.1723133,250.8989395,148.8069069,148.2024295,1287.263663,17.07781111,1.707781111,1.48754444,0.148754444,25.33104667,0.94581757,11.48053843,1.572760421,18.05613646,13.48689889,71.46371556,12.17110444,74.25032778,2.038247778,9.540521111,0.44913,12.02789889,0.587191111,5.021974444,0.347875556,0.163038889,0.305657778,0.007108889,0.823681112,28.76565444,64.10600778,10.76528,-2.42151,6.8633499,2.2009599,7.3062901,0.0658537,206.6909943,-0.53255,9.3938303
UPL2,Felsic,PL,2.380466974,47.80530235,1234.48701,21.78782163,451.1479682,21.89632523,10948.62722,2262.068917,10354.59404,236.1277328,425.5433117,193.3238282,212.6625615,745.0610873,26.7618,2.67618,2.6835,0.26835,29.42424333,0.25182381,9.972722191,10.65626003,106.2719208,18.49595,85.38896,17.54132,91.71805,2.734526667,14.38402667,0.546003333,17.66455667,0.015043333,5.740066667,0.30545,0.131936667,0.251116667,0.017966667,0.706470001,39.15097,53.69690667,9.268613333,0.842896,6.3797102,1.85899,0.0097445,0.0001025,178.6920013,0.0743039,10.1576004
UPL3,Felsic,PL,2.164772463,42.1107152,1318.443431,19.73361131,320.8791335,16.52196677,11130.41441,1737.972303,12222.003,105.6935644,496.7372622,216.1889412,82.37846993,494.2772637,28.55512,2.855512,3.0135,0.30135,60.657702,0.770968,9.475732537,3.908722541,37.03800936,22.540952,85.517588,18.382254,100.057524,2.991332,15.246642,0.611442,18.849416,0.01011,5.765614,0.36743,0.154422,0.310718,0.020414,0.852984,34.149694,56.57702,11.86551,1.51343,6.41047,1.78141,0.0100457,0.0000995,188.6640015,0.0990946,9.8499699
UPL4,Felsic,UP,3.304525045,49.4723319,2318.265264,16.78758574,310.6711476,17.83493551,16891.53763,2842.17933,7819.307084,66.25841,168.0450024,105.6120289,130.4390321,703.173922,18.4412,1.84412,2.19633333,0.219633333,28.0414,0.63642916,8.396357578,3.45102561,28.97604503,19.34789333,67.40850333,14.32155,86.60581333,2.33519,10.52476333,0.447783333,13.30773666,0.377906667,5.194143333,0.23686,0.109233333,0.20478,0.02506,0.575933333,50.83743333,41.26523667,10.46858,1.76624,5.3220701,0,-46.9123001,-1.0171601,203.151001,0.284848,14.6247997
UPL5,Felsic,UP,2.452855889,44.7269422,2523.97049,19.66360382,252.5656374,14.49577255,19836.64388,4142.828329,11044.95602,97.91092015,281.4992437,184.1009849,183.4167688,862.188395,19.276,1.9276,2.06003333,0.206003333,27.37513667,0.64486522,9.357130159,3.194517654,29.89151749,16.26701667,74.33300333,13.90551333,94.63903,2.215413333,11.25975667,0.432193333,13.90736334,0,5.42145,0.254213333,0.11829,0.2108,0.024656667,0.60796,41.26661667,52.54854667,6.801043333,-2.1647899,8.6314802,11.8492002,21.8822002,0.496422,208.7100067,-0.371547,14.9618998
UPL6,Felsic,UP,2.470164152,44.82562394,1507.145496,19.24679806,320.5807804,17.57870548,17394.92128,3560.013265,13400.8101,145.0184771,405.6104134,230.8902549,181.3188665,1098.447711,14.3157,1.43157,1.5885,0.15885,26.96962333,0.30189373,9.012086874,5.261785331,47.41966652,14.06209333,71.33370333,13.65178333,78.45978,2.118366667,10.42691667,0.431256667,12.97654,0.372593333,5.31645,0.238196667,0.111666667,0.194403333,0.019783333,0.56405,45.51199333,46.94574667,9.654823333,-0.245239,7.69947,15.5142002,12.4152002,0.590719,244.0370026,-0.0123953,21.7129002
UPL7,Felsic,MS,2.796019743,46.97101515,1901.367849,17.32604179,311.8938041,17.32610605,17835.84849,3024.86887,12360.87715,86.53693015,213.447772,146.6312075,252.0093822,657.4134048,19.39686667,1.939686667,1.8581,0.18581,46.87024667,0.80572435,10.43908652,2.306123676,24.07382459,18.09075667,55.25828667,12.61761333,70.03594,1.962906667,8.089683333,0.368663333,10.42125333,1.14207,4.56809,0.213146667,0.11396,0.20206,0.025746667,0.554913334,40.39510333,45.78414333,14.66050333,-1.09192,5.7308898,10.2103004,2.37131,0.202903,137.8370056,-0.0866993,29.1516991
