plotID;region;slope;TC_bulk;TN_bulk;P_avail;clay;silt;sand;pH_KCL;bases_in_CEC;CEC;bases_in_ECEC;ECEC;exch_bases_Mg;exch_bases_Ca;exch_bases_K;exch_base;exch_acidity_Al;Ca_soil;K_soil;Mg_soil;Na_soil;TRB_soil;P_soil
UPL7;Felsic;MS;1.939686667;0.18581;46.87024667;40.39510333;45.78414333;14.66050333;4.56809;55.25828667;18.09075667;70.03594;12.61761333;1.962906667;8.089683333;0.368663333;10.42125333;1.14207;0.213146667;0.11396;0.20206;0.025746667;0.554913334;0.080572435
UPL8;Felsic;MS;2.802533333;0.246783333;33.01101333;36.99185667;51.48594333;13.25328;4.44372;47.19930667;17.67807333;60.10553;11.33517;1.426923333;7.147416667;0.293036667;8.867376667;1.596093333;0.142486667;0.0932;0.146703333;0.018083333;0.400473333;0.046262037
UPL9;Felsic;MS;2.745073333;0.243796667;31.0653;38.42256667;51.18039;12.14035333;4.853806667;52.26397667;19.74824667;73.05736;13.00458667;1.65722;9.32104;0.357393333;11.33565333;0.631116667;0.20397;0.1111;0.196383333;0.020803333;0.532256666;0.095510214
NPL1;Mixed;PL;5.08699;0.34111;1.012113333;37.61029667;50.97853;11.22621333;3.323043333;0;29.04519;1.719676667;7.441396667;0.008613333;0;0.082126667;0.09074;6.05178;0;0.039846667;0.09436;0.00096;0.135166667;0.081109475
NPL10;Mixed;V;4.000723333;0.222613333;23.50895667;21.31789333;49.19512333;29.48458667;3.256736667;9.415843333;11.29243;8.59239;5.304733333;0.44261;0.463826667;0.090443333;0.99688;2.6888;0.03642;0.059946667;0.07701;0.00594;0.179316667;0.023698402
NPL11;Mixed;V;6.55717;0.332901429;31.66524;24.12364143;70.05127286;3.794558571;3.143937143;12.65568286;10.29950429;11.86023286;11.93021;0.179038571;3.287512857;0.046375714;3.512927142;3.645185714;0.015514286;0.025128571;0.058424286;0.013514286;0.112581429;0.004852846
NPL12;Mixed;V;2.58022;0.154066667;28.33443;21.29187;57.40248;18.39785333;3.492256667;28.28824667;6.700453333;24.75241333;7.566916667;0.816923333;2.636093333;0.240013333;3.693029999;1.756443333;0.080823333;0.0475;0.083983333;0.024773333;0.237079999;0.010698379
NPL2;Mixed;PL;4.59969;0.29569;1.958543333;49.82162333;35.93177333;15.40580333;3.298983333;1.83051;28.39927333;8.005103333;7.50177;0.204883333;0;0.141426667;0.34631;6.169086667;0.025773333;0.047136667;0.09108;0.012126667;0.176116667;0.091921469
NPL3;Mixed;PL;4.691933333;0.296603333;2.657986667;47.68155;36.87081333;14.59801;3.41962;4.34252;26.69817;11.61912;6.940416667;0.289016667;0.142613333;0.17529;0.60692;6.34459;0.02972;0.05223;0.087973333;0.016226667;0.18615;0.078266348
NPL4;Mixed;UP;3.109326667;0.16578;0;45.74055667;19.28595333;41.00120333;3.043793333;4.369053333;4.482873333;0;4.735246667;0.02409;0;0.066383333;0.090473333;4.010876667;0.092173333;0.10619;0.063466667;0.006283333;0.268113333;0.137478131
NPL5;Mixed;UP;3.353431538;0.048239231;25.05788231;39.78377769;12.15644462;47.09232538;3.746549231;20.92504231;4.868263846;18.54413;5.166861538;0.677409231;1.195311538;0.049152308;1.921873077;1.486240769;0.024563077;0.042587692;0.021098462;0.023808462;0.112057693;0.059769022
NPL6;Mixed;UP;2.93181;0.200686667;5.418663333;23.92742667;54.95387333;20.88705333;3.185893333;3.52164;15.42033;2.968303333;8.261313333;0.144206667;1.048153333;0.09515;1.28751;3.95391;0.05263;0.078616667;0.120913333;0;0.25216;0.067316874
NPL7;Mixed;MS;4.90198;0.301863333;12.42955333;27.85639667;60.37178;11.85859;3.185963333;0.90272;24.15949667;3.727376667;6.261323333;0.015633333;0;0.069836667;0.08547;5.996823333;0;0.03146;0.048836667;0.003166667;0.083463334;0.046714158
NPL8;Mixed;MS;5.90595;0.456443333;3.51673;38.15184;51.99893333;12.38513;3.003583333;0;38.15718;1.49331;6.332006667;0.18196;0;0.12265;0.30461;7.096006667;0.015303333;0.05555;0.18212;0.005773333;0.258746666;0.132582098
NPL9;Mixed;MS;3.67966;0.237516667;6.092203333;50.45954333;32.49194333;17.4713;3.573696667;5.662016667;27.29461667;13.07284333;7.205186667;0.161956667;0.284676667;0.19767;0.644303334;5.515123333;0.060706667;0.07347;0.119593333;0.0182;0.27197;0.108082597
